ID,Sex,Genotype,,,,,
B466,M,WT,,,,,
B467,M,AD,,,,,
B468,M,AD,,,,,
B469,M,WT,,,,,
B470,M,WT,,,,,
B471,M,WT,,,,,
B472,M,WT,,,,,
B473,M,AD,,,,,
B474,F,WT,,,,,
B475,F,AD,,,,,
B476,F,AD,,,,,
B477,F,AD,,,,,
B478,F,AD,,,,,
B479,F,WT,,,,,
B480,M,AD,,,,,
B481,M,WT,,,,,
B482,M,WT,,,,,
B483,M,AD,,,,,
B484,M,WT,,,,,
B485,M,AD,,,,,
B486,M,AD,,,,,
B487,M,WT,,,,,
